,weight,age,height
42969,49,43.0,162.56
85981,52,32.0,160.02
63011,58,33.0,157.48
90743,56,31.0,162.56
53393,83,36.0,160.02
87272,55,30.0,165.1
40661,63,27.0,167.64
19117,68,27.0,180.34
113201,56,20.0,165.1
33032,59,49.0,157.48
67350,49,40.0,157.48
67879,61,39.0,170.18
53778,45,26.0,167.64
94062,54,26.0,160.02
31355,61,37.0,162.56
86982,51,39.0,172.72
93687,51,29.0,165.1
79854,58,29.0,149.86
115927,54,40.0,170.18
6827,79,30.0,172.72
72983,70,24.0,160.02
3162,83,35.0,172.72
49710,68,29.0,167.64
53095,74,34.0,157.48
46657,78,53.0,182.88
101913,53,43.0,162.56
67311,61,32.0,170.18
38955,58,28.0,167.64
26082,68,43.0,165.1
69260,56,31.0,160.02
110507,74,29.0,170.18
51969,54,32.0,162.56
49591,56,19.0,175.26
43629,77,42.0,172.72
101864,60,36.0,172.72
3767,45,28.0,162.56
114631,65,46.0,167.64
11457,81,57.0,167.64
118279,62,46.0,167.64
39701,71,41.0,170.18
46119,54,28.0,157.48
25045,54,43.0,162.56
29608,60,40.0,172.72
91066,49,57.0,157.48
85150,57,53.0,167.64
44275,63,37.0,160.02
73994,68,34.0,175.26
100535,50,31.0,162.56
10910,54,26.0,154.94
3084,56,37.0,157.48
54216,58,32.0,167.64
103114,61,33.0,167.64
45608,47,28.0,157.48
38500,58,30.0,172.72
101896,46,28.0,160.02
69916,52,27.0,157.48
56085,50,26.0,160.02
107603,63,30.0,177.8
80310,56,62.0,162.56
106245,53,28.0,162.56
90428,55,39.0,157.48
73801,57,46.0,170.18
80251,53,34.0,167.64
47299,58,31.0,170.18
118231,81,34.0,162.56
8787,68,38.0,182.88
18786,54,33.0,167.64
90736,68,28.0,165.1
111812,77,34.0,172.72
61053,74,43.0,160.02
25004,63,22.0,172.72
42488,58,36.0,157.48
9516,65,31.0,172.72
67524,63,28.0,175.26
90640,58,29.0,165.1
100865,56,29.0,170.18
72190,74,40.0,167.64
37532,71,40.0,157.48
94762,67,35.0,170.18
57780,65,26.0,175.26
88516,56,26.0,165.1
60493,58,47.0,167.64
52253,61,48.0,165.1
114882,54,33.0,157.48
103458,58,25.0,175.26
17785,49,29.0,154.94
88309,58,31.0,175.26
80886,65,69.0,177.8
5863,58,31.0,157.48
81472,55,45.0,162.56
73870,52,29.0,157.48
90336,90,52.0,170.18
70605,58,31.0,177.8
84753,65,41.0,157.48
48973,63,31.0,170.18
40850,65,32.0,165.1
91294,54,30.0,157.48
66615,61,28.0,177.8
98437,61,39.0,165.1
60024,56,42.0,162.56
19806,49,31.0,154.94
11549,55,41.0,157.48
6916,58,41.0,165.1
53855,56,43.0,167.64
17948,65,26.0,167.64
58336,56,34.0,162.56
63785,76,51.0,177.8
101131,56,29.0,162.56
43424,58,29.0,167.64
62166,58,50.0,162.56
91421,54,30.0,172.72
20078,67,38.0,162.56
89769,61,49.0,170.18
47495,61,33.0,170.18
67855,54,43.0,165.1
23577,47,25.0,157.48
57839,61,27.0,165.1
41878,61,29.0,170.18
106532,58,32.0,157.48
38115,61,43.0,167.64
117313,77,24.0,162.56
75292,61,49.0,165.1
111932,56,23.0,170.18
82839,74,31.0,170.18
91289,81,37.0,170.18
109471,61,21.0,160.02
86600,57,30.0,162.56
88557,44,33.0,152.4
2084,64,27.0,162.56
60087,57,41.0,154.94
78172,65,35.0,165.1
81698,65,38.0,172.72
15465,72,32.0,167.64
85093,59,25.0,162.56
88352,58,25.0,172.72
15785,65,30.0,170.18
24284,68,28.0,165.1
90568,71,39.0,175.26
114158,56,27.0,172.72
20822,72,34.0,180.34
42532,52,41.0,165.1
49410,56,29.0,160.02
104587,57,35.0,160.02
115387,55,41.0,157.48
13020,57,24.0,160.02
91540,63,25.0,167.64
52946,56,44.0,160.02
42410,55,32.0,162.56
61784,56,47.0,167.64
34280,58,46.0,167.64
59873,88,21.0,180.34
75099,56,25.0,162.56
44445,55,39.0,152.4
68340,63,30.0,154.94
111611,53,29.0,162.56
25730,58,23.0,175.26
33696,54,31.0,167.64
87071,61,31.0,167.64
104866,74,31.0,172.72
109328,58,18.0,170.18
112362,52,28.0,172.72
28727,70,30.0,170.18
56818,52,33.0,157.48
9012,63,49.0,162.56
74709,68,36.0,170.18
31633,54,34.0,154.94
114798,65,26.0,162.56
111045,58,38.0,177.8
114455,58,38.0,172.72
93546,65,29.0,167.64
36999,63,33.0,175.26
104753,58,55.0,167.64
90128,56,36.0,152.4
62897,58,26.0,167.64
68595,56,45.0,144.78
66812,52,32.0,162.56
113995,61,31.0,170.18
107294,74,28.0,172.72
81885,76,38.0,177.8
93654,65,48.0,167.64
97904,56,30.0,165.1
68995,54,34.0,162.56
97599,108,45.0,167.64
52259,59,31.0,172.72
94991,49,23.0,170.18
83720,61,42.0,160.02
43681,65,36.0,157.48
40399,55,26.0,165.1
66851,68,35.0,180.34
63109,60,43.0,175.26
70129,62,36.0,175.26
81636,58,29.0,172.72
104872,70,39.0,177.8
47100,63,46.0,154.94
48319,45,26.0,152.4
17393,54,38.0,160.02
6484,53,39.0,162.56
64938,67,31.0,170.18
79573,60,39.0,167.64
30768,62,28.0,172.72
17671,70,32.0,165.1
50842,57,60.0,157.48
82075,58,34.0,152.4
104503,51,35.0,165.1
117713,63,26.0,172.72
20118,58,40.0,165.1
89926,56,49.0,165.1
8907,72,45.0,170.18
93454,47,26.0,162.56
56392,79,29.0,170.18
24870,59,47.0,165.1
100024,58,27.0,170.18
63875,56,63.0,165.1
75641,79,32.0,172.72
88337,54,29.0,162.56
95661,56,24.0,167.64
88214,55,29.0,162.56
96189,52,36.0,162.56
117830,63,30.0,177.8
101670,54,32.0,162.56
63797,58,39.0,167.64
19387,63,29.0,160.02
79136,72,33.0,175.26
111902,58,27.0,170.18
83745,70,43.0,172.72
84230,61,47.0,165.1
41808,49,31.0,157.48
101497,61,31.0,162.56
38017,90,36.0,175.26
2610,61,30.0,172.72
29450,58,31.0,154.94
95242,72,28.0,165.1
70538,56,31.0,170.18
59909,68,31.0,167.64
13742,57,32.0,157.48
72047,54,22.0,165.1
119083,70,45.0,165.1
59357,65,38.0,175.26
93426,63,46.0,167.64
80156,68,30.0,157.48
71724,54,27.0,165.1
90746,52,31.0,162.56
88086,54,53.0,157.48
80124,54,28.0,157.48
117685,54,30.0,160.02
42214,54,30.0,165.1
80339,77,39.0,167.64
50082,77,32.0,187.96
25306,57,31.0,170.18
64326,58,47.0,157.48
44090,61,54.0,162.56
71689,54,29.0,162.56
7475,58,32.0,160.02
78020,48,32.0,157.48
45907,57,34.0,154.94
31693,74,33.0,167.64
86006,52,28.0,157.48
112872,61,29.0,167.64
95297,54,33.0,160.02
72713,61,32.0,160.02
6163,56,26.0,162.56
42331,68,43.0,157.48
115331,63,32.0,172.72
115598,62,26.0,160.02
33653,56,38.0,167.64
91575,63,35.0,167.64
67254,58,33.0,172.72
77560,54,42.0,170.18
102138,62,29.0,152.4
87974,71,38.0,177.8
40267,49,28.0,157.48
58019,79,30.0,157.48
28589,72,39.0,170.18
49549,58,34.0,165.1
94299,52,24.0,152.4
94339,68,32.0,170.18
88249,68,35.0,170.18
2127,68,37.0,175.26
78226,74,30.0,165.1
92590,61,39.0,170.18
36208,54,31.0,160.02
64390,65,37.0,175.26
81902,43,34.0,160.02
75944,86,33.0,172.72
78783,61,32.0,180.34
98060,58,43.0,157.48
107139,88,28.0,162.56
13884,47,25.0,157.48
106470,58,44.0,157.48
24034,62,30.0,167.64
67694,54,42.0,167.64
2300,58,38.0,167.64
240,79,27.0,177.8
86261,72,28.0,167.64
105321,52,36.0,170.18
77804,49,36.0,172.72
63197,59,34.0,167.64
9326,58,26.0,162.56
102938,70,23.0,160.02
100554,63,31.0,162.56
59928,54,51.0,162.56
1099,58,46.0,175.26
66975,61,31.0,172.72
98243,62,44.0,162.56
23545,70,45.0,162.56
109567,77,31.0,170.18
88178,54,49.0,160.02
80478,56,47.0,160.02
29033,77,43.0,167.64
28424,61,36.0,162.56
39207,57,58.0,172.72
7883,54,36.0,162.56
104191,56,58.0,170.18
35255,78,65.0,167.64
81697,74,32.0,165.1
26852,54,33.0,167.64
37027,70,28.0,170.18
44706,68,44.0,175.26
34169,60,34.0,172.72
46790,68,32.0,177.8
53145,73,33.0,167.64
40385,81,31.0,182.88
34640,55,32.0,157.48
103190,65,34.0,154.94
84214,65,27.0,170.18
61432,74,32.0,170.18
108297,72,31.0,177.8
58848,79,43.0,172.72
76347,54,22.0,167.64
23589,65,46.0,162.56
29900,62,25.0,167.64
47002,55,39.0,170.18
37620,68,30.0,172.72
38635,68,37.0,165.1
95800,74,32.0,177.8
67244,72,24.0,182.88
62231,56,41.0,160.02
95656,86,43.0,170.18
55663,53,34.0,157.48
103268,55,37.0,162.56
46004,58,28.0,165.1
22275,68,38.0,157.48
91813,56,47.0,160.02
63180,56,26.0,160.02
107981,56,29.0,172.72
60871,65,22.0,175.26
113314,58,47.0,165.1
37692,56,41.0,165.1
72386,52,38.0,165.1
63895,56,34.0,165.1
105448,49,20.0,172.72
95824,79,51.0,167.64
57447,58,33.0,167.64
174,61,32.0,162.56
117575,55,29.0,152.4
42129,63,20.0,170.18
115762,63,34.0,154.94
26771,46,48.0,152.4
86078,66,27.0,177.8
77151,68,51.0,167.64
7938,74,30.0,165.1
600,54,34.0,167.64
50559,58,42.0,157.48
42957,53,44.0,160.02
55502,74,30.0,157.48
41109,63,30.0,170.18
23556,52,24.0,152.4
82592,63,36.0,170.18
108328,58,35.0,162.56
9381,61,38.0,162.56
36738,51,37.0,160.02
115834,77,41.0,160.02
41724,58,27.0,162.56
99056,55,25.0,165.1
19743,56,28.0,167.64
37513,54,37.0,172.72
41736,49,20.0,170.18
106064,58,37.0,167.64
30344,68,49.0,172.72
16119,69,31.0,165.1
19077,61,36.0,160.02
13546,72,30.0,180.34
7886,59,36.0,167.64
52415,61,43.0,167.64
52556,79,33.0,165.1
83726,64,43.0,172.72
61234,61,26.0,162.56
13067,72,32.0,172.72
36162,58,29.0,175.26
119372,58,33.0,175.26
100294,52,29.0,157.48
102080,74,28.0,170.18
90915,71,47.0,172.72
19791,67,37.0,162.56
107048,54,29.0,162.56
101342,81,28.0,172.72
13449,58,31.0,160.02
90026,58,19.0,165.1
41398,58,40.0,167.64
20256,74,29.0,162.56
98854,74,30.0,172.72
15345,63,28.0,177.8
89972,83,37.0,162.56
3167,52,33.0,157.48
13062,57,37.0,162.56
70862,52,31.0,162.56
54694,70,36.0,162.56
84430,54,52.0,160.02
117063,72,31.0,175.26
42055,56,36.0,160.02
12192,63,27.0,154.94
2249,68,27.0,177.8
73860,72,28.0,170.18
58533,65,34.0,167.64
11659,53,54.0,157.48
22759,53,34.0,160.02
10474,62,32.0,182.88
43225,61,55.0,172.72
92320,61,32.0,170.18
106639,99,33.0,177.8
104097,58,33.0,175.26
103098,54,33.0,154.94
99377,68,35.0,167.64
65603,54,30.0,162.56
87708,53,45.0,162.56
83807,65,32.0,167.64
99141,64,36.0,175.26
78623,58,38.0,175.26
62498,58,34.0,175.26
14673,56,29.0,154.94
73767,79,32.0,165.1
68830,56,34.0,170.18
81662,70,40.0,162.56
99452,43,46.0,152.4
89028,52,29.0,162.56
31819,55,30.0,167.64
92693,68,42.0,165.1
72823,53,37.0,157.48
24346,52,32.0,165.1
76853,68,33.0,157.48
63199,70,40.0,162.56
97010,67,35.0,170.18
18302,47,41.0,157.48
112956,61,44.0,160.02
51393,72,33.0,162.56
14127,56,23.0,157.48
5312,77,39.0,175.26
98208,61,27.0,170.18
66048,63,31.0,170.18
108754,56,24.0,165.1
35432,63,31.0,165.1
11401,58,25.0,167.64
40248,63,36.0,157.48
64989,63,26.0,172.72
58333,61,30.0,172.72
94129,61,27.0,175.26
21135,55,47.0,157.48
35360,49,34.0,157.48
88095,52,25.0,162.56
40668,99,37.0,180.34
21029,62,37.0,175.26
47150,70,27.0,175.26
45108,65,33.0,172.72
55142,66,24.0,170.18
4573,49,39.0,160.02
64876,65,28.0,162.56
50906,63,26.0,172.72
107979,81,51.0,157.48
44966,65,33.0,175.26
70474,65,34.0,170.18
102555,61,29.0,167.64
81260,65,27.0,162.56
77006,56,40.0,162.56
37397,72,38.0,177.8
80520,74,30.0,154.94
117538,70,36.0,175.26
91662,56,26.0,167.64
91954,58,26.0,172.72
116017,68,31.0,177.8
31826,58,29.0,167.64
92240,95,43.0,172.72
69008,51,25.0,162.56
39021,65,29.0,180.34
25687,58,40.0,167.64
27936,64,31.0,175.26
132,63,30.0,165.1
100344,56,20.0,165.1
60155,58,34.0,170.18
115573,62,41.0,170.18
9581,76,44.0,167.64
91475,68,32.0,170.18
116706,61,29.0,170.18
89417,74,26.0,162.56
74897,58,49.0,162.56
28624,61,41.0,172.72
21577,61,37.0,165.1
26427,63,35.0,172.72
23687,79,27.0,165.1
80148,54,33.0,157.48
84662,57,49.0,167.64
19947,58,33.0,175.26
61713,54,21.0,160.02
96902,68,70.0,167.64
9216,47,43.0,160.02
116342,54,33.0,170.18
12992,62,30.0,172.72
32474,68,44.0,170.18
86452,53,41.0,160.02
118193,58,39.0,154.94
30725,73,63.0,172.72
18532,61,35.0,167.64
12369,63,29.0,167.64
73394,53,28.0,157.48
57724,63,42.0,167.64
69219,68,31.0,167.64
9177,72,31.0,162.56
35593,61,35.0,167.64
45312,60,56.0,170.18
89812,63,44.0,172.72
89140,63,31.0,162.56
77206,63,32.0,160.02
3402,68,33.0,170.18
61063,88,67.0,172.72
2035,49,31.0,160.02
56044,68,31.0,172.72
41548,55,41.0,157.48
66730,68,27.0,162.56
77887,58,36.0,160.02
65766,54,29.0,170.18
11028,43,45.0,167.64
93247,54,33.0,157.48
6309,52,31.0,157.48
94429,47,29.0,154.94
5162,68,36.0,177.8
70835,58,39.0,167.64
88805,64,61.0,172.72
95243,77,41.0,185.42
13437,61,26.0,160.02
95526,62,30.0,170.18
66067,54,33.0,167.64
37192,68,58.0,160.02
21153,70,31.0,167.64
52475,68,33.0,162.56
16693,72,46.0,154.94
7527,74,40.0,167.64
116142,68,36.0,157.48
2001,53,34.0,170.18
8644,44,62.0,162.56
14003,61,20.0,154.94
1418,68,37.0,165.1
43004,52,29.0,167.64
36378,65,27.0,170.18
5153,54,24.0,170.18
71256,54,26.0,162.56
57431,59,32.0,170.18
77709,54,28.0,157.48
12456,54,33.0,160.02
3821,63,49.0,162.56
119063,64,38.0,165.1
58920,60,39.0,167.64
44342,77,27.0,167.64
68365,53,29.0,165.1
30372,49,33.0,157.48
95511,63,29.0,170.18
93903,61,27.0,177.8
45101,77,44.0,165.1
37037,56,30.0,167.64
29716,55,55.0,165.1
97686,58,32.0,160.02
49525,79,37.0,170.18
95505,78,33.0,170.18
111596,65,30.0,170.18
14862,61,56.0,157.48
65921,56,33.0,170.18
68487,59,40.0,162.56
70823,56,38.0,167.64
8405,61,31.0,170.18
110989,70,33.0,170.18
83123,68,30.0,172.72
57297,67,41.0,165.1
116294,45,41.0,165.1
13425,104,33.0,180.34
46019,65,30.0,172.72
54884,54,33.0,165.1
4422,70,28.0,175.26
22982,50,33.0,162.56
73133,65,48.0,170.18
41412,52,25.0,162.56
26029,113,36.0,165.1
56546,58,34.0,175.26
104171,52,32.0,162.56
62115,68,23.0,172.72
15499,70,32.0,170.18
9005,63,24.0,160.02
59039,49,26.0,157.48
30137,81,35.0,167.64
29744,54,34.0,157.48
55110,63,24.0,170.18
84827,63,33.0,170.18
101446,57,33.0,162.56
68338,54,34.0,162.56
59830,54,34.0,160.02
57417,63,29.0,162.56
57908,57,38.0,172.72
9359,62,25.0,162.56
113601,52,30.0,154.94
4507,56,46.0,160.02
90874,74,32.0,165.1
9008,53,44.0,170.18
89868,58,27.0,172.72
73127,56,25.0,165.1
107940,65,36.0,182.88
30669,72,29.0,172.72
84736,54,29.0,162.56
114229,63,33.0,172.72
19475,50,32.0,162.56
93087,57,37.0,162.56
38339,52,42.0,167.64
505,58,31.0,172.72
8801,58,34.0,170.18
50197,63,33.0,160.02
10391,77,41.0,167.64
107460,56,32.0,162.56
105253,65,37.0,177.8
48643,70,37.0,167.64
26579,58,42.0,162.56
3287,59,54.0,162.56
101059,58,30.0,167.64
56260,79,45.0,167.64
41776,74,25.0,165.1
99959,51,29.0,152.4
52121,63,30.0,157.48
51757,50,27.0,160.02
67943,56,30.0,167.64
42649,52,30.0,170.18
86089,49,47.0,162.56
22585,70,34.0,172.72
63159,72,32.0,157.48
90414,56,33.0,167.64
8387,65,34.0,162.56
70149,47,33.0,157.48
95739,70,46.0,172.72
56647,57,30.0,162.56
94232,74,20.0,175.26
35630,63,29.0,172.72
19861,63,27.0,167.64
90496,63,27.0,167.64
81705,50,32.0,154.94
91103,54,31.0,170.18
70140,60,33.0,162.56
22462,58,55.0,160.02
76294,78,27.0,180.34
9093,61,43.0,162.56
57094,55,29.0,154.94
80843,63,24.0,172.72
2658,61,30.0,167.64
87483,52,30.0,157.48
73171,56,27.0,175.26
83827,70,38.0,162.56
89961,58,24.0,157.48
40713,65,32.0,167.64
102977,74,27.0,165.1
31159,52,117.0,165.1
44599,79,44.0,182.88
113397,63,30.0,167.64
16409,77,40.0,152.4
34887,55,27.0,157.48
54240,55,31.0,157.48
924,40,19.0,160.02
11277,59,34.0,157.48
54756,54,38.0,165.1
97321,58,33.0,160.02
100881,63,32.0,172.72
82697,55,42.0,167.64
76526,61,39.0,165.1
50235,77,34.0,172.72
21508,77,48.0,167.64
101050,63,33.0,160.02
64782,63,27.0,165.1
63186,65,37.0,157.48
6330,60,36.0,172.72
98791,61,30.0,157.48
2118,48,20.0,160.02
52341,49,36.0,160.02
93990,72,48.0,154.94
1728,79,40.0,162.56
1087,56,24.0,165.1
76578,70,29.0,165.1
21057,65,32.0,172.72
67384,58,32.0,167.64
92231,61,32.0,170.18
51185,60,36.0,172.72
89998,68,56.0,165.1
25990,43,42.0,154.94
41360,56,45.0,160.02
56180,68,40.0,172.72
86411,77,48.0,170.18
1768,58,26.0,172.72
104665,65,29.0,177.8
69281,49,58.0,162.56
33431,52,34.0,160.02
8074,56,29.0,167.64
101265,53,36.0,157.48
85690,58,30.0,162.56
19774,62,39.0,175.26
63341,79,32.0,152.4
53900,54,35.0,157.48
26780,63,31.0,165.1
61780,63,45.0,167.64
25802,65,26.0,167.64
41015,45,34.0,152.4
85171,61,25.0,165.1
54383,52,33.0,165.1
6083,68,26.0,170.18
22903,63,32.0,162.56
39243,55,29.0,165.1
50618,53,34.0,157.48
36524,56,26.0,167.64
3096,54,42.0,167.64
113670,68,35.0,170.18
118371,62,38.0,162.56
78991,61,24.0,165.1
102665,58,36.0,152.4
41267,63,34.0,162.56
55098,55,36.0,162.56
72636,54,32.0,157.48
59391,52,25.0,165.1
11873,65,27.0,175.26
84250,70,39.0,167.64
118504,56,41.0,157.48
61877,56,36.0,162.56
116277,50,31.0,157.48
43481,47,53.0,157.48
80043,58,27.0,170.18
63570,61,28.0,170.18
88447,58,57.0,170.18
56813,47,32.0,160.02
61363,63,27.0,180.34
66633,72,32.0,177.8
12892,54,42.0,165.1
15976,73,38.0,170.18
112153,56,26.0,154.94
118867,53,37.0,170.18
34783,65,63.0,167.64
21464,63,35.0,170.18
71572,57,35.0,167.64
86348,61,32.0,165.1
89223,56,30.0,162.56
82115,58,34.0,167.64
54409,65,53.0,175.26
98759,63,31.0,162.56
18065,54,29.0,167.64
96545,53,40.0,162.56
40317,58,28.0,167.64
13560,65,49.0,170.18
105001,104,32.0,167.64
80473,56,32.0,162.56
113176,58,30.0,162.56
29614,58,24.0,180.34
41469,72,31.0,167.64
60656,74,47.0,175.26
42421,58,34.0,154.94
29448,51,31.0,167.64
64741,63,34.0,167.64
115635,65,36.0,177.8
118992,65,39.0,167.64
32979,63,45.0,170.18
14817,58,35.0,162.56
114479,56,28.0,167.64
19755,70,35.0,167.64
35621,59,30.0,157.48
30650,50,31.0,147.32
114960,74,37.0,172.72
4075,81,33.0,167.64
68206,64,42.0,170.18
19125,63,36.0,162.56
17848,58,29.0,162.56
110987,56,27.0,170.18
57719,63,39.0,165.1
95078,61,28.0,167.64
70536,83,26.0,172.72
88278,58,30.0,172.72
14105,63,27.0,162.56
75535,81,26.0,157.48
107951,56,29.0,162.56
37394,52,32.0,170.18
68246,72,30.0,177.8
74010,61,23.0,170.18
1569,56,35.0,170.18
113837,61,31.0,154.94
53980,61,26.0,167.64
72558,63,38.0,162.56
101075,61,36.0,170.18
29978,65,26.0,160.02
74307,64,36.0,172.72
34422,68,31.0,167.64
61463,68,38.0,180.34
70305,50,28.0,160.02
104580,74,31.0,167.64
77224,61,33.0,157.48
37136,58,28.0,157.48
73364,57,29.0,160.02
7634,56,33.0,165.1
23946,55,27.0,167.64
6660,69,40.0,170.18
83172,58,55.0,167.64
41905,62,32.0,170.18
28346,63,57.0,170.18
74703,54,29.0,157.48
10476,65,25.0,149.86
7973,71,27.0,172.72
54236,49,23.0,154.94
38471,65,30.0,170.18
15702,65,24.0,177.8
72890,65,31.0,160.02
57941,65,31.0,167.64
53538,68,52.0,154.94
31043,61,26.0,162.56
28722,61,28.0,157.48
9468,55,32.0,165.1
19486,58,55.0,175.26
39016,54,49.0,167.64
25037,58,33.0,170.18
45222,54,33.0,172.72
117347,72,35.0,177.8
35972,61,27.0,167.64
104625,63,31.0,165.1
101540,58,29.0,167.64
63933,64,27.0,165.1
112423,58,34.0,160.02
9947,68,31.0,162.56
65294,61,25.0,157.48
67307,62,42.0,170.18
28105,65,32.0,162.56
44188,61,33.0,162.56
8990,56,22.0,162.56
25772,63,36.0,170.18
1839,59,61.0,165.1
11166,61,29.0,165.1
106019,63,42.0,167.64
75112,74,32.0,154.94
51677,68,33.0,160.02
8292,55,45.0,165.1
46916,63,26.0,162.56
105223,52,55.0,157.48
91211,58,34.0,162.56
91554,65,22.0,185.42
30737,61,35.0,167.64
89552,63,37.0,167.64
83317,61,56.0,165.1
34267,63,35.0,165.1
44940,61,28.0,167.64
84964,76,34.0,167.64
38559,67,42.0,172.72
93977,63,27.0,167.64
71254,56,28.0,157.48
4314,58,38.0,157.48
55600,70,36.0,172.72
418,97,43.0,162.56
50990,61,34.0,172.72
13953,72,39.0,172.72
95910,56,32.0,157.48
7900,63,29.0,162.56
38247,50,31.0,167.64
102814,57,35.0,162.56
116310,54,35.0,162.56
110374,56,49.0,177.8
44391,54,31.0,162.56
23304,61,28.0,162.56
107347,58,27.0,165.1
68916,58,47.0,157.48
94822,63,28.0,170.18
67000,69,38.0,162.56
108804,54,29.0,167.64
72657,63,30.0,165.1
43766,54,39.0,157.48
14965,52,29.0,167.64
55610,56,26.0,165.1
93119,74,26.0,167.64
102202,55,36.0,154.94
22162,63,27.0,165.1
75706,58,30.0,152.4
54251,70,37.0,177.8
37625,52,26.0,167.64
66773,63,25.0,170.18
51261,59,28.0,160.02
15712,63,33.0,162.56
75218,57,40.0,165.1
57239,61,33.0,175.26
75850,61,30.0,182.88
72109,49,31.0,165.1
10905,62,32.0,170.18
69312,48,30.0,157.48
118682,68,34.0,162.56
97593,68,36.0,180.34
14696,83,31.0,157.48
91469,58,34.0,162.56
103051,60,31.0,165.1
2867,58,34.0,170.18
29458,54,21.0,170.18
50308,70,31.0,175.26
49030,76,38.0,162.56
97279,58,27.0,160.02
19996,52,35.0,165.1
87522,63,35.0,170.18
95750,56,31.0,165.1
22130,72,29.0,165.1
24897,58,45.0,167.64
10142,54,50.0,160.02
58405,61,29.0,160.02
98028,79,56.0,167.64
35463,61,25.0,172.72
35116,78,59.0,170.18
75248,68,31.0,172.72
54038,52,35.0,167.64
54973,63,37.0,170.18
29221,65,22.0,170.18
65362,51,38.0,157.48
87632,68,32.0,167.64
58834,61,47.0,172.72
65173,54,29.0,165.1
97240,77,51.0,162.56
39978,55,26.0,170.18
11253,58,33.0,165.1
8026,52,45.0,157.48
61070,58,38.0,175.26
108299,79,34.0,170.18
104013,72,32.0,175.26
6302,61,37.0,170.18
4918,99,33.0,175.26
94563,61,32.0,162.56
20631,47,31.0,152.4
104471,81,34.0,170.18
25461,53,35.0,162.56
118869,58,37.0,170.18
39307,64,41.0,175.26
105711,72,31.0,170.18
110463,56,32.0,157.48
58955,65,31.0,167.64
48110,56,29.0,165.1
44354,56,33.0,172.72
40447,70,49.0,165.1
34947,52,30.0,160.02
46034,65,42.0,175.26
103934,69,62.0,175.26
60375,54,27.0,167.64
53065,65,57.0,175.26
30264,61,36.0,165.1
92037,68,29.0,170.18
113791,50,31.0,157.48
87481,58,27.0,170.18
36675,77,26.0,162.56
36870,65,35.0,167.64
38163,70,37.0,177.8
14103,52,34.0,165.1
1873,47,27.0,152.4
53316,63,25.0,162.56
107281,72,29.0,170.18
8836,56,26.0,167.64
74050,61,52.0,162.56
101039,63,27.0,152.4
51599,86,30.0,170.18
60777,54,32.0,162.56
7106,56,33.0,175.26
80519,49,33.0,165.1
109252,60,39.0,167.64
32555,56,38.0,167.64
67692,63,33.0,177.8
85530,61,25.0,170.18
60463,47,26.0,154.94
89897,97,29.0,175.26
20491,46,29.0,165.1
105929,54,20.0,157.48
64614,56,35.0,172.72
97422,51,28.0,167.64
62740,58,35.0,160.02
69057,49,29.0,165.1
65003,60,38.0,162.56
53301,68,37.0,160.02
74895,54,28.0,162.56
23333,55,26.0,170.18
83420,56,34.0,160.02
44452,90,31.0,185.42
83959,55,31.0,160.02
67420,72,37.0,170.18
87884,66,51.0,165.1
57000,57,36.0,172.72
16437,58,40.0,162.56
45020,61,27.0,170.18
36904,64,28.0,177.8
34300,63,37.0,177.8
13116,56,26.0,165.1
119055,66,46.0,157.48
45397,79,37.0,177.8
101632,60,30.0,167.64
79652,61,27.0,160.02
2280,63,33.0,172.72
62769,48,45.0,152.4
38699,47,31.0,157.48
79487,54,30.0,160.02
58675,59,45.0,165.1
6837,56,28.0,165.1
70850,56,28.0,165.1
75368,74,42.0,170.18
107725,56,41.0,162.56
29874,58,44.0,172.72
31546,65,38.0,167.64
83956,56,42.0,172.72
43664,68,24.0,177.8
69940,81,30.0,172.72
41773,56,31.0,170.18
109208,70,30.0,170.18
2146,47,32.0,162.56
74753,77,28.0,172.72
50377,61,48.0,162.56
80304,63,39.0,165.1
86837,63,31.0,165.1
97726,47,28.0,157.48
77720,52,19.0,165.1
3467,56,33.0,162.56
40709,61,58.0,162.56
88754,47,38.0,154.94
94945,59,30.0,177.8
112536,47,32.0,154.94
5365,52,26.0,167.64
91856,58,40.0,172.72
28429,53,34.0,152.4
114474,63,37.0,170.18
30853,53,37.0,160.02
90632,52,44.0,154.94
30542,61,29.0,162.56
15895,52,30.0,162.56
3840,63,32.0,167.64
15209,58,36.0,170.18
40913,56,34.0,160.02
115148,56,24.0,177.8
7595,78,33.0,177.8
41692,63,28.0,180.34
93097,61,58.0,162.56
41225,58,33.0,172.72
60046,52,31.0,170.18
23417,58,46.0,175.26
95801,86,48.0,162.56
59010,74,42.0,160.02
43475,52,34.0,157.48
39024,56,30.0,170.18
99476,58,36.0,175.26
70934,52,25.0,170.18
96989,64,32.0,172.72
95116,54,22.0,162.56
38150,53,43.0,157.48
52647,63,45.0,170.18
40984,58,25.0,175.26
34035,68,34.0,172.72
2061,65,31.0,167.64
112111,65,29.0,167.64
50062,58,32.0,172.72
57553,61,38.0,167.64
23430,57,30.0,167.64
26276,51,37.0,160.02
99863,74,27.0,182.88
54340,53,47.0,162.56
103649,62,35.0,162.56
9963,48,28.0,154.94
64998,56,29.0,172.72
65687,72,50.0,170.18
107496,46,60.0,160.02
69660,45,42.0,152.4
12020,54,39.0,162.56
74037,63,27.0,180.34
613,54,22.0,162.56
48820,58,33.0,165.1
21098,68,19.0,165.1
60153,83,30.0,177.8
17119,58,36.0,170.18
8638,56,30.0,157.48
